Method name,p-value,mean AUC,relation,mean AUC for random scores,p-value description,p-value stars
Align-It Tanimoto,3.216348305306424e-132,0.5168637616444347,>,0.49990785720533565,< 0.00001,****
Align-It Tversky (DB),0.0,0.5306885718346819,>,0.49990785720533565,< 0.00001,****
Align-It Tversky (Reference),4.0897424275240716e-17,0.4943080531379838,<,0.49990785720533565,< 0.00001,****
FP: CDK ECFP0,6.630435961924138e-16,0.5093063916849015,>,0.49990785720533565,< 0.00001,****
FP: CDK ECFP2,2.0683103666502912e-11,0.5075103310722101,>,0.49990785720533565,< 0.00001,****
FP: CDK ECFP4,0.0049363437715267185,0.5028224107221007,>,0.49990785720533565,< 0.01,*
FP: CDK Estate,6.116842203447141e-13,0.5082451566739605,>,0.49990785720533565,< 0.00001,****
FP: CDK FCFP0,1.242734168836298e-72,0.4788307838074399,<,0.49990785720533565,< 0.00001,****
FP: CDK FCFP2,0.021794557878550395,0.4973718485776805,<,0.49990785720533565,< 0.05,*
FP: CDK FCFP4,0.0322949981572632,0.49761305754923413,<,0.49990785720533565,< 0.05,*
FP: CDK MACCS,2.749608463004807e-43,0.5186498245076586,>,0.49990785720533565,< 0.00001,****
FP: CDK PubChem,5.490804580904638e-59,0.5143887687089715,>,0.49990785720533565,< 0.00001,****
FP: CDK Standard,1.2961739843567393e-12,0.5077957343544858,>,0.49990785720533565,< 0.00001,****
FP: Indigo,2.285080786331435e-95,0.5216148905908096,>,0.49990785720533565,< 0.00001,****
FP: MAP4 (1024 bits),1.0583695109034652e-43,0.48853175754923417,<,0.49990785720533565,< 0.00001,****
FP: MAP4 (2048 bits),9.321731423082243e-16,0.49288083555555556,<,0.49990785720533565,< 0.00001,****
FP: MAP4 (256 bits),1.9785054269140172e-121,0.4790144818380743,<,0.49990785720533565,< 0.00001,****
FP: MAP4 (512 bits),1.7390196810979947e-81,0.48379401772428887,<,0.49990785720533565,< 0.00001,****
FP: OpenBabel FP2,6.5081097835775376e-46,0.5142693137855581,>,0.49990785720533565,< 0.00001,****
FP: OpenBabel FP3,0.0,0.5509182067833699,>,0.49990785720533565,< 0.00001,****
FP: OpenBabel FP4,2.550390659765017e-77,0.5220333185995624,>,0.49990785720533565,< 0.00001,****
FP: RDKit,1.101197281182102e-169,0.4700921849015317,<,0.49990785720533565,< 0.00001,****
FP: RDKit AtomPair,0.06128799579874338,0.49747990109409196,<,0.49990785720533565,≥ 0.05,
FP: RDKit Avalon,8.86506371292918e-05,0.504259429321663,>,0.49990785720533565,< 0.0001,***
FP: RDKit FeatAtom Morgan,5.401800918460349e-16,0.5092681201312911,>,0.49990785720533565,< 0.00001,****
FP: RDKit Layered,1.1836196694131189e-33,0.5132795509846827,>,0.49990785720533565,< 0.00001,****
FP: RDKit Morgan,0.0993546214917611,0.501635353391685,>,0.49990785720533565,≥ 0.05,
FP: RDKit Torsion,1.8713321801211877e-26,0.5109330717724289,>,0.49990785720533565,< 0.00001,****
"FP: random bits (512, 10%)",6.554775769038767e-10,0.5025838512035011,>,0.49990785720533565,< 0.00001,****
KNIME 3D shape similarity,1.3266950523453348e-47,0.49067533938333696,<,0.49990785720533565,< 0.00001,****
LISICA 2D,1.4548248485162948e-170,0.5286228296523071,>,0.49990785720533565,< 0.00001,****
LISICA 3D,1.2849252731099175e-263,0.535876580581675,>,0.49990785720533565,< 0.00001,****
SHAFTS Feature Score,1.3772850648748545e-62,0.5144284889569211,>,0.49990785720533565,< 0.00001,****
SHAFTS Hybrid Score,4.742702481062494e-14,0.5066807697354034,>,0.49990785720533565,< 0.00001,****
SHAFTS Shape Score,7.74646167259029e-06,0.49610212136453086,<,0.49990785720533565,< 0.00001,****
ShaEP Avg Similarity,2.2422391073071623e-192,0.5209329796632407,>,0.49990785720533565,< 0.00001,****
ShaEP Best Similarity,2.5675816799416346e-170,0.5198692779357095,>,0.49990785720533565,< 0.00001,****
ShaEP ESP Similarity,0.0,0.5358129260879073,>,0.49990785720533565,< 0.00001,****
ShaEP Shape Similarity,0.8898829633811338,0.4998097106931993,<,0.49990785720533565,≥ 0.05,
Siamese NN RDKit (I),5.1957357584903996e-20,0.491659547702407,<,0.49990785720533565,< 0.00001,****
Siamese NN RDKit (II),0.0056334002784058975,0.4973960282275712,<,0.49990785720533565,< 0.01,*
Siamese NN RDKit (III),0.03291457114185695,0.5018174809628009,>,0.49990785720533565,< 0.05,*
Siamese NN RDKit (~ReSimNet),3.538449608550656e-05,0.49659913588621435,<,0.49990785720533565,< 0.0001,***
Siamese NN spectro (I),0.013901010153926339,0.5013124548047388,>,0.49990785720533565,< 0.05,*
Siamese NN spectro (II),1.1531270849049027e-12,0.49614699473453266,<,0.49990785720533565,< 0.00001,****
Siamese NN spectro (III),0.0003611380603618327,0.5020108832821414,>,0.49990785720533565,< 0.001,**
Siamese NN spectro (~ReSimNet),2.7093764686801763e-46,0.5077276746379991,>,0.49990785720533565,< 0.00001,****
Vect. Sim. (Cosine) RDKit,0.0400132732366129,0.5026630212253829,>,0.49990785720533565,< 0.05,*
Vect. Sim. (Cosine) Spctr,2.552942457264935e-10,0.4965101781483106,<,0.49990785720533565,< 0.00001,****
Vect. Sim. (Euclidean) RDKit,0.3485372492651928,0.5011055881838075,>,0.49990785720533565,≥ 0.05,
Vect. Sim. (Euclidean) Spctr,3.032711050343718e-09,0.4961088731899956,<,0.49990785720533565,< 0.00001,****
Vect. Sim. (Manhattan) RDKit,0.0041356270950935105,0.5037377975929977,>,0.49990785720533565,< 0.01,*
Vect. Sim. (Manhattan) Spctr,1.8607875833264652e-14,0.4950290807371655,<,0.49990785720533565,< 0.00001,****
avg(Align-It LISICA3D),0.0,0.5412474620599169,>,0.49990785720533565,< 0.00001,****
avg(Align-It ShaEP LISICA3D SHAFTSfeat),7.4243150271711e-310,0.5355042768423355,>,0.49990785720533565,< 0.00001,****
avg(Align-It ShaEP LISICA3D),0.0,0.5463993877104746,>,0.49990785720533565,< 0.00001,****
avg(Align-It ShaEP),0.0,0.5399226352503828,>,0.49990785720533565,< 0.00001,****
avg(FP3 Align-It LISICA3D),0.0,0.5912126234419418,>,0.49990785720533565,< 0.00001,****
avg(FP3 Align-It ShaEP LISICA3D SHAFTSfeat),0.0,0.5736887607697354,>,0.49990785720533565,< 0.00001,****
avg(FP3 Align-It ShaEP LISICA3D),0.0,0.5854767916028866,>,0.49990785720533565,< 0.00001,****
avg(FP3 Align-It ShaEP),0.0,0.5828543839930023,>,0.49990785720533565,< 0.00001,****
avg(FP3 LISICA3D),0.0,0.5951266153509731,>,0.49990785720533565,< 0.00001,****
"avg(FP: FP3,MACCS,indigo,RDkitLayered)",0.0,0.5534413803063457,>,0.49990785720533565,< 0.00001,****
avg(LISICA3D SHAFTSfeat),1.1311057690090592e-109,0.521683018150011,>,0.49990785720533565,< 0.00001,****
avg(ShaEP LISICA3D SHAFTSfeat),5.737153034365979e-160,0.5259037141919966,>,0.49990785720533565,< 0.00001,****
avg(ShaEP LISICA3D),0.0,0.5462396488082221,>,0.49990785720533565,< 0.00001,****
max(Align-It LISICA3D),0.0,0.5322596945112618,>,0.49990785720533565,< 0.00001,****
max(Align-It ShaEP LISICA3D SHAFTSfeat),0.0,0.549229502077411,>,0.49990785720533565,< 0.00001,****
max(Align-It ShaEP LISICA3D),0.0,0.548830141919965,>,0.49990785720533565,< 0.00001,****
max(Align-It ShaEP),0.0,0.548588666958233,>,0.49990785720533565,< 0.00001,****
max(FP3 Align-It LISICA3D),0.0,0.5942823472556309,>,0.49990785720533565,< 0.00001,****
max(FP3 Align-It ShaEP LISICA3D SHAFTSfeat),0.0,0.5913682523507544,>,0.49990785720533565,< 0.00001,****
max(FP3 Align-It ShaEP LISICA3D),0.0,0.5913426295648371,>,0.49990785720533565,< 0.00001,****
max(FP3 Align-It ShaEP),0.0,0.5913296778919745,>,0.49990785720533565,< 0.00001,****
max(FP3 LISICA3D),0.0,0.5950750286464027,>,0.49990785720533565,< 0.00001,****
"max(FP: FP3,MACCS,indigo,RDkitLayered)",0.0,0.5628943617067832,>,0.49990785720533565,< 0.00001,****
max(LISICA3D SHAFTSfeat),2.1918812818732953e-218,0.529844456811721,>,0.49990785720533565,< 0.00001,****
max(ShaEP LISICA3D SHAFTSfeat),0.0,0.5380303750273344,>,0.49990785720533565,< 0.00001,****
max(ShaEP LISICA3D),0.0,0.5376491438880385,>,0.49990785720533565,< 0.00001,****
